theta_rad;theta_deg;pressure_exp_kPa;pressure_sim_kPa;temperature_K;heat_loss_J;burned_fraction;dQ_dtheta_kJ_per_rad
-0.157079633;-9.000000;3616.500000;3711.298377;743.452925;4.025716;0.000000000;0.000000000
-0.148352986;-8.500000;3681.600000;3767.945421;746.178960;4.207273;0.000000000;0.000000000
-0.139626340;-8.000000;3745.700000;3822.664786;748.762444;4.392227;0.000000000;0.000000000
-0.130899694;-7.500000;3808.100000;3875.241576;751.196454;4.580450;0.000000000;0.000000000
-0.122173048;-7.000000;3868.700000;3925.461169;753.474251;4.771798;0.000000000;0.000000000
-0.113446401;-6.500000;3927.600000;3973.110993;755.589324;4.966113;0.000000000;0.000000000
-0.104719755;-6.000000;3985.100000;4017.982362;757.535435;5.163224;0.000000000;0.000000000
-0.095993109;-5.500000;4039.700000;4059.872438;759.306664;5.362944;0.000000000;0.000000000
-0.087266463;-5.000000;4092.200000;4098.586185;760.897454;5.565075;0.000000000;0.000000000
-0.078539816;-4.500000;4143.300000;4133.938356;762.302654;5.769405;0.000000000;0.000000000
-0.069813170;-4.000000;4191.200000;4165.755443;763.517559;5.975709;0.000000000;0.000000000
-0.061086524;-3.500000;4237.000000;4193.877616;764.537951;6.183752;0.000000000;0.000000000
-0.052359878;-3.000000;4277.300000;4218.160514;765.360137;6.393289;0.000000000;0.000000000
-0.043633231;-2.500000;4311.700000;4238.476944;765.980976;6.604066;0.000000000;0.000000000
-0.034906585;-2.000000;4343.100000;4254.718401;766.397914;6.815821;0.000000000;0.000000000
-0.026179939;-1.500000;4370.300000;4266.796417;766.609005;7.028286;0.000000000;0.000000000
-0.017453293;-1.000000;4400.700000;4274.643656;766.612931;7.241189;0.000000000;0.000000000
-0.008726646;-0.500000;4407.800000;4278.214782;766.409015;7.454253;0.000000000;0.000000000
0.000000000;0.000000;4437.700000;4277.487052;765.997231;7.667201;0.000000000;0.000000000
0.008726646;0.500000;4437.400000;4272.460634;765.378204;7.879755;0.000000000;0.000000000
0.017453293;1.000000;4461.400000;4263.158626;764.553210;8.091640;0.000000000;0.000000000
0.026179939;1.500000;4452.000000;4249.626792;763.524164;8.302582;0.000000000;0.000000000
0.034906585;2.000000;4472.700000;4231.933946;762.293774;8.512313;0.000000000;0.000000000
0.043633231;2.500000;4454.600000;4252.888385;768.585423;8.722894;0.008635017;1.501926913
0.052359878;3.000000;4468.100000;4305.686221;781.241156;8.940391;0.024640442;2.125493484
0.061086524;3.500000;4448.400000;4376.079183;797.753039;9.168405;0.045236251;2.573621706
0.069813170;4.000000;4457.800000;4457.894298;817.062024;9.409403;0.069258393;2.917453559
0.078539816;4.500000;4440.900000;4546.953305;838.463052;9.665229;0.095936549;3.185661859
0.087266463;5.000000;4453.700000;4640.038691;861.417442;9.937275;0.124684599;3.393853997
0.095993109;5.500000;4469.600000;4734.528328;885.485681;10.226556;0.155025408;3.552086266
0.104719755;6.000000;4540.400000;4828.229991;910.296506;10.533764;0.186556091;3.667602250
0.113446401;6.500000;4651.300000;4919.293990;935.530376;10.859301;0.218929384;3.746042000
0.122173048;7.000000;4826.800000;5006.161271;960.909674;11.203303;0.251842570;3.792045634
0.130899694;7.500000;5019.000000;5087.528913;986.192371;11.565671;0.285030303;3.809581109
0.139626340;8.000000;5187.300000;5162.324735;1011.167628;11.946087;0.318259664;3.802133564
0.148352986;8.500000;5288.100000;5229.686552;1035.652494;12.344042;0.351326473;3.772819883
0.157079633;9.000000;5352.400000;5288.944025;1059.489296;12.758855;0.384052418;3.724460771
0.165806279;9.500000;5436.700000;5339.601797;1082.543432;13.189696;0.416282678;3.659627667
0.174532925;10.000000;5534.500000;5381.323457;1104.701474;13.635611;0.447883913;3.580674271
0.183259571;10.500000;5590.400000;5413.915895;1125.869414;14.095541;0.478742452;3.489758599
0.191986218;11.000000;5590.500000;5437.314077;1145.971060;14.568342;0.508762667;3.388859041
0.200712864;11.500000;5593.200000;5451.566193;1164.946514;15.052808;0.537865444;3.279786727
0.209439510;12.000000;5602.300000;5456.819302;1182.750748;15.547689;0.565986794;3.164195444
0.218166156;12.500000;5591.600000;5453.305496;1199.352221;16.051708;0.593076500;3.043590223
0.226892803;13.000000;5536.200000;5441.328748;1214.731576;16.563576;0.619096861;2.919335017
0.235619449;13.500000;5478.000000;5421.252496;1228.880381;17.082011;0.644021482;2.792659968
0.244346095;14.000000;5442.500000;5393.488042;1241.799948;17.605746;0.667834153;2.664668276
0.253072742;14.500000;5422.900000;5358.483841;1253.500197;18.133543;0.690527759;2.536343080
0.261799388;15.000000;5378.900000;5316.715727;1263.998586;18.664202;0.712103262;2.408554280
0.270526034;15.500000;5294.200000;5268.678026;1273.319110;19.196572;0.732568751;2.282065219
0.279252680;16.000000;5183.400000;5214.875670;1281.491358;19.729551;0.751938533;2.157539484
0.287979327;16.500000;5110.500000;5155.817203;1288.549637;20.262101;0.770232299;2.035547583
0.296705973;17.000000;5074.700000;5092.008726;1294.532156;20.793241;0.787474328;1.916573657
0.305432619;17.500000;5035.700000;5023.948641;1299.480286;21.322059;0.803692780;1.801021949
0.314159265;18.000000;4960.100000;4952.123280;1303.437872;21.847710;0.818919014;1.689223292
0.322885912;18.500000;4871.100000;4877.003244;1306.450611;22.369415;0.833186979;1.581441357
0.331612558;19.000000;4768.000000;4799.040496;1308.565490;22.886463;0.846532652;1.477878781
0.340339204;19.500000;4675.000000;4718.666018;1309.830281;23.398211;0.858993536;1.378682958
0.349065850;20.000000;4606.100000;4636.288117;1310.293098;23.904081;0.870608200;1.283951710
0.357792497;20.500000;4550.300000;4552.291199;1310.001990;24.403559;0.881415868;1.193738617
0.366519143;21.000000;4481.000000;4467.035061;1309.004605;24.896190;0.891456058;1.108058135
0.375245789;21.500000;4393.600000;4380.854462;1307.347886;25.381578;0.900768260;1.026890321
0.383972435;22.000000;4301.700000;4294.059150;1305.077810;25.859385;0.909391659;0.950185354
0.392699082;22.500000;4214.800000;4206.934104;1302.239178;26.329321;0.917364888;0.877867698
0.401425728;23.000000;4126.300000;4119.740089;1298.875435;26.791147;0.924725822;0.809840008
0.410152374;23.500000;4047.300000;4032.714290;1295.028518;27.244669;0.931511406;0.745986646
0.418879020;24.000000;3978.300000;3946.071214;1290.738747;27.689737;0.937757508;0.686176990
0.427605667;24.500000;3909.000000;3860.003654;1286.044738;28.126236;0.943498803;0.630268393
0.436332313;25.000000;3825.800000;3774.683800;1280.983339;28.554092;0.948768674;0.578108912
0.445058959;25.500000;3735.600000;3690.264300;1275.589588;28.973258;0.953599150;0.529539691
0.453785606;26.000000;3644.600000;3606.879464;1269.896695;29.383719;0.958020853;0.484397150
0.462512252;26.500000;3567.800000;3524.646489;1263.936040;29.785489;0.962062960;0.442514922
0.471238898;27.000000;3497.200000;3443.666585;1257.737183;30.178601;0.965753192;0.403725513
0.479965544;27.500000;3430.600000;3364.026191;1251.327888;30.563112;0.969117809;0.367861795
0.488692191;28.000000;3354.200000;3285.798103;1244.734158;30.939099;0.972181620;0.334758274
0.497418837;28.500000;3278.800000;3209.042633;1237.980283;31.306652;0.974967999;0.304252190
0.506145483;29.000000;3208.000000;3133.808625;1231.088888;31.665879;0.977498915;0.276184408
0.514872129;29.500000;3131.800000;3060.134523;1224.080991;32.016897;0.979794968;0.250400194
0.523598776;30.000000;3053.900000;2988.049329;1216.976067;32.359837;0.981875429;0.226749828
0.532325422;30.500000;2982.900000;2917.573549;1209.792116;32.694837;0.983758286;0.205089093
0.541052068;31.000000;2923.700000;2848.720027;1202.545726;33.022042;0.985460294;0.185279642
0.549778714;31.500000;2864.000000;2781.494776;1195.252147;33.341604;0.986997026;0.167189272
